date,Inflation (annual %),Unemployment rate (%)
2022,7.96757361617945,
2021,3.46692585313082,6.19066252537703
2020,1.9209680056685,6.70898273878473
2019,2.20607305781525,5.86456974134929
2018,2.45036243850175,5.97918633166657
2017,2.25427651934813,5.61009077826539
2016,1.60553917414213,
2015,1.44385719270808,
2014,2.35449052820358,5.60839624684106
2013,2.65167342916577,5.65083373686793
2012,3.72532666110646,5.43877797121523
2011,4.82239636013325,5.91977448583024
2010,3.32634463368643,5.48105498588106
2009,2.86044855902672,6.33775927367331
2008,8.94995335353387,
2007,4.81023704342912,
2006,4.26717463390264,
2005,4.10725070715931,5.78923459564211
2004,3.51799903099596,
2003,3.02504526252236,6.43343762715344
2002,2.90799857032207,
2001,3.83657262052543,
2000,3.43351563418767,5.51218583143303
1999,3.04194667094533,6.20688088480093
1998,5.09729149331441,
1997,5.55412988949405,
1996,6.5260956937258,5.63555813987656
1995,9.07738095238091,
1994,10.2479355556119,4.95672618112828
1993,7.14458706876256,
1992,7.63610852336974,
1991,8.99693873494331,
1990,8.06346090938833,
1989,6.92390503711238,
1988,7.11340652931347,
1987,5.71011938486679,
