,Open,High,Low,Close
2024-11-15,0.94950,0.95000,0.94800,0.94850
2024-11-14,0.94940,0.95000,0.94840,0.94860
2024-11-13,0.94660,0.95245,0.94510,0.94660
2024-11-12,0.94191,0.94699,0.93905,0.94191
2024-11-11,0.93770,0.94366,0.93778,0.93770
2024-11-10,0.93328,0.94084,0.93210,0.93328
2024-11-07,0.92634,0.93367,0.92615,0.92634
2024-11-06,0.93170,0.93335,0.92370,0.93170
2024-11-05,0.91454,0.93600,0.91463,0.91454
2024-11-04,0.91962,0.91968,0.91560,0.91962
2024-11-03,0.91958,0.91993,0.91610,0.91958
2024-10-31,0.91860,0.92179,0.91709,0.91860
2024-10-30,0.92088,0.92208,0.91841,0.92088
2024-10-29,0.92416,0.92507,0.92024,0.92416
2024-10-28,0.92449,0.92847,0.92368,0.92449
2024-10-27,0.92622,0.92741,0.92360,0.92622
2024-10-24,0.92386,0.92491,0.92230,0.92386
2024-10-23,0.92760,0.92837,0.92505,0.92760
2024-10-22,0.92616,0.92914,0.92520,0.92616
2024-10-21,0.92440,0.92576,0.92270,0.92440
2024-10-20,0.92008,0.92412,0.92000,0.92008
2024-10-17,0.92340,0.92351,0.92050,0.92340
2024-10-16,0.92060,0.92474,0.91997,0.92060
2024-10-15,0.91877,0.92012,0.91730,0.91877
2024-10-14,0.91666,0.91863,0.91590,0.91666
2024-10-13,0.91530,0.91695,0.91410,0.91530
2024-10-10,0.91459,0.91513,0.91289,0.91459
2024-10-09,0.91380,0.91625,0.91287,0.91380
2024-10-08,0.91110,0.91402,0.91070,0.91110
2024-10-07,0.91110,0.91227,0.90930,0.91110
2024-10-06,0.91120,0.91278,0.91033,0.91120
2024-10-03,0.90616,0.91273,0.90580,0.90616
2024-10-02,0.90510,0.90830,0.90510,0.90510
2024-10-01,0.90384,0.90628,0.90235,0.90384
2024-09-30,0.89794,0.90407,0.89720,0.89794
2024-09-29,0.89527,0.89798,0.89219,0.89527
2024-09-26,0.89468,0.89875,0.89287,0.89468
2024-09-25,0.89839,0.89873,0.89369,0.89839
2024-09-24,0.89356,0.89753,0.89187,0.89356
2024-09-23,0.89995,0.90058,0.89578,0.89995
2024-09-22,0.89599,0.90213,0.89540,0.89599
2024-09-19,0.89590,0.89788,0.89432,0.89590
2024-09-18,0.89970,0.90330,0.89440,0.89970
2024-09-17,0.89903,0.90016,0.89760,0.89903
2024-09-16,0.89851,0.89984,0.89717,0.89851
2024-09-15,0.90184,0.90195,0.89804,0.90184
2024-09-12,0.90270,0.90302,0.90070,0.90270
2024-09-11,0.90819,0.90855,0.90518,0.90819
2024-09-10,0.90736,0.90886,0.90457,0.90736
2024-09-09,0.90600,0.90775,0.90495,0.90600
2024-09-08,0.90194,0.90621,0.90160,0.90194
2024-09-05,0.90000,0.90357,0.89689,0.90000
2024-09-04,0.90249,0.90292,0.89919,0.90249
2024-09-03,0.90507,0.90573,0.90139,0.90507
2024-09-02,0.90355,0.90631,0.90330,0.90355
2024-09-01,0.90540,0.90559,0.90272,0.90540
2024-08-29,0.90249,0.90465,0.90125,0.90249
2024-08-28,0.89888,0.90446,0.89765,0.89888
2024-08-27,0.89462,0.90046,0.89430,0.89462
2024-08-26,0.89568,0.89676,0.89449,0.89568
2024-08-25,0.89382,0.89663,0.89277,0.89382
2024-08-22,0.89951,0.90035,0.89318,0.89951
2024-08-21,0.89643,0.90096,0.89626,0.89643
2024-08-20,0.89864,0.90045,0.89700,0.89864
2024-08-19,0.90200,0.90314,0.89950,0.90200
2024-08-18,0.90703,0.90712,0.90313,0.90703
2024-08-15,0.91135,0.91127,0.90873,0.91135
2024-08-14,0.90800,0.91320,0.90770,0.90800
2024-08-13,0.90934,0.91006,0.90510,0.90934
2024-08-12,0.91439,0.91611,0.91220,0.91439
2024-08-11,0.91627,0.91631,0.91410,0.91627
2024-08-08,0.91611,0.91662,0.91480,0.91611
2024-08-07,0.91507,0.91892,0.91350,0.91507
2024-08-06,0.91523,0.91685,0.91438,0.91523
2024-08-05,0.91316,0.91704,0.91215,0.91316
2024-08-04,0.91652,0.91796,0.90848,0.91652
2024-08-01,0.92699,0.92739,0.91523,0.92699
2024-07-31,0.92388,0.92779,0.92270,0.92388
2024-07-30,0.92455,0.92518,0.92150,0.92455
2024-07-29,0.92426,0.92593,0.92270,0.92426
2024-07-28,0.92134,0.92566,0.91980,0.92134
2024-07-25,0.92155,0.92228,0.92009,0.92155
2024-07-24,0.92255,0.92342,0.92044,0.92255
2024-07-23,0.92160,0.92364,0.92026,0.92160
2024-07-22,0.91829,0.92213,0.91740,0.91829
2024-07-21,0.91750,0.91965,0.91730,0.91750
2024-07-18,0.91730,0.91934,0.91730,0.91730
2024-07-17,0.91406,0.91698,0.91390,0.91406
2024-07-16,0.91722,0.91774,0.91348,0.91722
2024-07-15,0.91730,0.91978,0.91690,0.91730
2024-07-14,0.91865,0.91875,0.91559,0.91865
2024-07-11,0.91973,0.92055,0.91649,0.91973
2024-07-10,0.92308,0.92311,0.91757,0.92308
2024-07-09,0.92466,0.92491,0.92347,0.92466
2024-07-08,0.92328,0.92539,0.92300,0.92328
2024-07-07,0.92370,0.92463,0.92190,0.92370
2024-07-04,0.92501,0.92501,0.92265,0.92501
2024-07-03,0.92650,0.92728,0.92450,0.92650
2024-07-02,0.93037,0.93135,0.92459,0.93037
2024-07-01,0.93135,0.93365,0.93057,0.93135
2024-06-30,0.93151,0.93277,0.92780,0.93151
2024-06-27,0.93384,0.93580,0.93275,0.93384
2024-06-26,0.93632,0.93652,0.93230,0.93632
2024-06-25,0.93374,0.93741,0.93280,0.93374
2024-06-24,0.93173,0.93526,0.93060,0.93173
2024-06-23,0.93565,0.93594,0.93049,0.93565
2024-06-20,0.93402,0.93704,0.93260,0.93402
2024-06-19,0.93010,0.93392,0.93020,0.93010
2024-06-18,0.93090,0.93229,0.92995,0.93090
2024-06-17,0.93104,0.93361,0.92926,0.93104
2024-06-16,0.93439,0.93566,0.93230,0.93439
2024-06-13,0.93120,0.93737,0.93060,0.93120
2024-06-12,0.92480,0.92990,0.92440,0.92480
2024-06-11,0.93107,0.93153,0.92151,0.93107
2024-06-10,0.92900,0.93274,0.92820,0.92900
2024-06-09,0.92774,0.93165,0.92740,0.92774
2024-06-06,0.91790,0.92550,0.91728,0.91790
2024-06-05,0.91958,0.92050,0.91754,0.91958
2024-06-04,0.91896,0.92073,0.91828,0.91896
2024-06-03,0.91681,0.92075,0.91590,0.91681
2024-06-02,0.92140,0.92353,0.91820,0.92140
2024-05-30,0.92290,0.92493,0.91890,0.92290
2024-05-29,0.92577,0.92687,0.92200,0.92577
2024-05-28,0.92150,0.92511,0.92090,0.92150
2024-05-27,0.92065,0.92089,0.91832,0.92065
2024-05-26,0.92186,0.92236,0.92020,0.92186
2024-05-23,0.92484,0.92540,0.92110,0.92484
2024-05-22,0.92377,0.92481,0.92070,0.92377
2024-05-21,0.92122,0.92400,0.92040,0.92122
2024-05-20,0.92074,0.92200,0.91950,0.92074
2024-05-19,0.91950,0.92123,0.91870,0.91950
2024-05-16,0.92015,0.92282,0.91921,0.92015
2024-05-15,0.91829,0.92122,0.91770,0.91829
2024-05-14,0.92468,0.92476,0.91960,0.92468
2024-05-13,0.92648,0.92795,0.92350,0.92648
2024-05-12,0.92847,0.92881,0.92530,0.92847
2024-05-09,0.92720,0.92919,0.92650,0.92720
2024-05-08,0.93050,0.93239,0.92740,0.93050
2024-05-07,0.93019,0.93147,0.92950,0.93019
2024-05-06,0.92872,0.92973,0.92680,0.92872
2024-05-05,0.92953,0.92968,0.92660,0.92953
2024-05-02,0.93170,0.93240,0.92512,0.93170
2024-05-01,0.93270,0.93670,0.93190,0.93270
2024-04-30,0.93751,0.93896,0.93557,0.93751
2024-04-29,0.93321,0.93595,0.93140,0.93321
2024-04-28,0.93398,0.93537,0.93150,0.93398
