date,GDP growth (annual %)
2022,3.08960746444744
2021,6.25985128447172
2020,-2.93204334405938
2019,2.64221643519326
2018,3.28661298847909
2017,3.46023911788988
2016,2.82055728507054
2015,3.12613558771196
2014,3.12386991048261
2013,2.86822214282918
2012,2.70911515835066
2011,3.32713269662275
2010,4.52954597288344
2009,-1.35578209060768
2008,2.06249593292573
2007,4.37327669000229
2006,4.4427926960624
2005,4.00586591028021
2004,4.46925885476534
2003,3.10427567346218
2002,2.30283698886824
2001,2.02540286904951
2000,4.53109478934492
1999,3.54971735296617
1998,2.85392534426954
1997,3.92971386087353
1996,3.57468642667355
1995,3.08461458014557
1994,3.32394244259369
1993,1.81297600755461
1992,2.01925660379804
1991,1.25582639172117
1990,2.76454112195918
1989,3.71718416002003
1988,4.59172623866458
1987,3.72462650916714
